Org,Year,Voting Members,Independent Voting Members,Employees,Volunteers,Contributions and grants,Program service revenue,Investment income,Other revenue,Grants and similar amounts paid,Salaries,Professional fundraising fees,Other Expenses,Assets,Liabilities,Total Revenue,Total Expenses,Net Assets,Notes
Apache,2010,370,370,0,2663,"$525,954","$12,349","$1,107",$0,$0,$0,$0,"$405,482","$711,581","$1,316","$539,410","$405,482","$710,265",Note: Voting Members incorrectly counts all Members (should be 9: board seats)
Apache,2011,386,386,0,2663,"$541,487","$12,349",$603,$0,$0,$0,$0,"$404,929","$818,634","$1,500","$554,439","$404,929","$817,134",Note: Voting Members incorrectly counts all Members (should be 9: board seats)
Apache,2012,386,386,0,3500,"$873,012","$32,031",$689,$0,$0,$0,$0,"$501,556","$1,239,968",$0,"$905,732","$501,556","$1,239,968",Note: Voting Members incorrectly counts all Members (should be 9: board seats)
Apache,2013,9,9,0,4000,"$1,077,746","$50,002",$24,"$2,898",$0,$0,$0,"$653,422","$1,541,446",$0,"$1,130,670","$653,422","$1,541,446",
Apache,2014,9,9,0,4000,"$1,184,567",$0,$271,$0,$0,$0,$0,"$940,780","$1,814,895",$0,"$1,184,838","$940,780","$1,814,895",
Apache,2015,7,7,0,4000,"$972,716",$0,"$1,086",$0,$0,$0,$0,"$946,589","$1,842,108",$0,"$973,802","$946,589","$1,842,108",Note: Voting Members should be 9 for board seats (likely transcription error)
Apache,2016,9,9,5,6226,"$910,681",$0,"$6,209",$825,$0,"$640,929",$0,"$564,902","$1,553,993",$0,"$917,715","$1,205,831","$1,553,993",
Apache,2017,9,9,4,6706,"$2,640,369","$33,100","$7,941","$16,648",$0,"$735,527",$0,"$516,774","$3,000,250",$500,"$2,698,058","$1,252,301","$2,999,750",
Apache,2018,10,10,4,7000,"$2,284,957","$274,666","$17,902","$6,010",$0,"$614,864",$0,"$1,132,136","$3,836,685",$400,"$2,583,535","$1,747,000","$3,836,285",Note: Voting Members should be 9 for board seats (likely transcription error)
Apache,2019,9,9,0,6000,"$2,048,910","$192,191","$20,854",$0,"$50,362","$661,334",$0,"$1,799,343","$3,586,169",$0,"$2,261,955","$2,511,039","$3,586,169","Note: Apache went from direct employees to using PEO firm, hence this drop from 2018"
